permit id,address,description,category,value,issue date,location
6396844,410 W FULTON ST,"Construct Duplex family residence. (Establish use for and construction of single family residence and 2-unit townhouse, per plans. Reviews and processing for 2 A/P's under 6389860).",SINGLE FAMILY / DUPLEX,326646,2014-06-26 00:00:00,"{'latitude': '47.64593865', 'longitude': '-122.36268948', 'needs_recoding': False}"
6405066,114 N 41ST ST,"Establish use as and construct single family residence with attached garage, and occupy, per plan.",SINGLE FAMILY / DUPLEX,388345,2014-06-27 00:00:00,"{'latitude': '47.65652507', 'longitude': '-122.35683003', 'needs_recoding': False}"
6403361,2114 29TH AVE S,ESTABLISH USE AND CONSTRUCT SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE PER PLAN(REMOVE EXISTING ACCESSORY STRUCTURE),SINGLE FAMILY / DUPLEX,395625,2014-06-27 00:00:00,"{'latitude': '47.58399889', 'longitude': '-122.29477848', 'needs_recoding': False}"
6403362,2116 29TH AVE S,"Remove existing detatched garage and construct single family residence with attached garage, per plan",SINGLE FAMILY / DUPLEX,509601,2014-06-27 00:00:00,"{'latitude': '47.58390894', 'longitude': '-122.29477442', 'needs_recoding': False}"
6404946,3715 28TH AVE W,"Establish use as and Construct new single family residence with attached garage, per plan.",SINGLE FAMILY / DUPLEX,345224,2014-06-28 00:00:00,"{'latitude': '47.65366193', 'longitude': '-122.39322165', 'needs_recoding': False}"
6402439,512 NE 79TH ST,"Establish use as single family residence and construct one family dwelling with accessory dwelling unit, per plans.",SINGLE FAMILY / DUPLEX,353263,2014-06-28 00:00:00,"{'latitude': '47.68623585', 'longitude': '-122.32229411', 'needs_recoding': False}"
6396579,3426 38TH AVE SW,Establish use and construct single family dwelling with attached garage per plan,SINGLE FAMILY / DUPLEX,471454,2014-06-28 00:00:00,"{'latitude': '47.57232346', 'longitude': '-122.37997686', 'needs_recoding': False}"
6398159,3845 24TH AVE W,"Establish use as and construct single family residence and detached garage, per plan.",SINGLE FAMILY / DUPLEX,444453,2014-06-28 00:00:00,"{'latitude': '47.65543932', 'longitude': '-122.387717', 'needs_recoding': False}"
6398052,3847 24TH AVE W,Establish use as and construct single family residence and detached 2 story garage per plan,SINGLE FAMILY / DUPLEX,367194,2014-06-30 00:00:00,"{'latitude': '47.65551166', 'longitude': '-122.3877217', 'needs_recoding': False}"
6399552,2855 W JAMESON ST,"Establish use and construct single family dwelling and detached garage, per plan",SINGLE FAMILY / DUPLEX,289179,2014-06-30 00:00:00,"{'latitude': '47.65930891', 'longitude': '-122.39426543', 'needs_recoding': False}"
6383570,4531 RAINIER AVE S,"Construct A Boarding House building this permit. (Establish uses as and construct Boarding House duplex and Live/Work duplex, occupy per plans. Reviews and processing for 2 A/P's under 6383570)",SINGLE FAMILY / DUPLEX,595125,2014-07-01 00:00:00,"{'latitude': '47.56195518', 'longitude': '-122.2879256', 'needs_recoding': False}"
6396203,4531 RAINIER AVE S,Construct B live/work building per plan (Establish uses as and construct Boarding House duplex and Live/Work duplex. Reviews and processing for 2 A/P's under 6383570),SINGLE FAMILY / DUPLEX,350332,2014-07-01 00:00:00,"{'latitude': '47.56195518', 'longitude': '-122.2879256', 'needs_recoding': False}"
6354702,416 33RD AVE,"Establish use as single family residence and construct new single family residence w/ attached garage, per plan.",SINGLE FAMILY / DUPLEX,480449,2014-07-01 00:00:00,"{'latitude': '47.6056972', 'longitude': '-122.2902315', 'needs_recoding': False}"
6397879,3014 21ST AVE W,Construct (2) unit townhouse (South Bldg) per plan. (Establish use and construct (1) 2 unit townhouse & (2) single family residences with surface parking. Review & processing for 3 AP's under 6397879),SINGLE FAMILY / DUPLEX,380692,2014-07-02 00:00:00,"{'latitude': '47.64714372', 'longitude': '-122.38283912', 'needs_recoding': False}"
6402297,3016 21ST AVE W,Construct single family residence (middle bldg) per plan. (Establish use and construct (1) 2 unit townhouse & (2) single family residences with surface parking. Review & processing for 3 AP's under 6397879),SINGLE FAMILY / DUPLEX,222207,2014-07-02 00:00:00,"{'latitude': '47.64714326', 'longitude': '-122.38298012', 'needs_recoding': False}"
6402298,3018 21ST AVE W,Construct single family residence (North Bldg) per plan. (Establish use and construct (1) 2 unit townhouse & (2) single family residences with surface parking. Review & processing for 3 AP's under 6397879),SINGLE FAMILY / DUPLEX,215526,2014-07-02 00:00:00,"{'latitude': '47.64714521', 'longitude': '-122.38313294', 'needs_recoding': False}"
6402054,2920 NE 53RD ST,Establish use as single family residence and construct one family dwelling per plans.  Demolition of existing structure under separate permit. Existing foundation to remain.,SINGLE FAMILY / DUPLEX,339933,2014-07-07 00:00:00,"{'latitude': '47.66726711', 'longitude': '-122.29588226', 'needs_recoding': False}"
6398593,920 N 90TH ST,"Establish use as single family residence and construct one family dwelling, per plans.",SINGLE FAMILY / DUPLEX,324363,2014-07-07 00:00:00,"{'latitude': '47.69438261', 'longitude': '-122.34637795', 'needs_recoding': False}"
6374048,4919 UNIVERSITY VIEW PL NE,"Construct modular single family residence on new foundation and basement level with attached carport, per plan.",SINGLE FAMILY / DUPLEX,97619,2014-07-07 00:00:00,"{'latitude': '47.66449319', 'longitude': '-122.29428917', 'needs_recoding': False}"
6361743,3849 24TH AVE W,"Establish use as single family residence and construct one family dwelling and detached garage, per plans.  Project includes removal of existing detached garage.",SINGLE FAMILY / DUPLEX,449038,2014-07-07 00:00:00,"{'latitude': '47.65559883', 'longitude': '-122.3877208', 'needs_recoding': False}"
6370629,4848 DELRIDGE WAY SW,"Construct east duplex this permit per plans. (Establish use as townhouses and construct 2 duplex buildings with surface parking, per plans. Review and processing for both under 6370629.",MULTIFAMILY,390053,2014-07-08 00:00:00,"{'latitude': '47.55785193', 'longitude': '-122.36242165', 'needs_recoding': False}"
6412796,4850 DELRIDGE WAY SW,"Construct west duplex this permit per plans. (Establish use as townhouses and construct 2 duplex buildings with surface parking, per plans. Review and processing for both under 6370629.",MULTIFAMILY,390053,2014-07-08 00:00:00,"{'latitude': '47.55785025', 'longitude': '-122.36264186', 'needs_recoding': False}"
6399175,2312 N 60TH ST,"Establish use as and construct single family residence with attached garage, per plan.",SINGLE FAMILY / DUPLEX,450296,2014-07-08 00:00:00,"{'latitude': '47.67248948', 'longitude': '-122.33021673', 'needs_recoding': False}"
6367508,906 3RD AVE N,"Establish use as and construct three-unit (3) townhomes over parking garage and occupy, per plan.",MULTIFAMILY,756453,2014-07-08 00:00:00,"{'latitude': '47.62743163', 'longitude': '-122.35123908', 'needs_recoding': False}"
6391362,3344 E REPUBLICAN ST,"Establish use as and construct single family residence with attached garage, and occupy, per plan.",SINGLE FAMILY / DUPLEX,416704,2014-07-08 00:00:00,"{'latitude': '47.62339326', 'longitude': '-122.28811824', 'needs_recoding': False}"
